oa_code_2021,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_100_plus
S00135443,2,0,6,8,5,7,6,2,10,6,8,7,1,6,11,5,0,1,2,0,0
S00135444,13,9,8,0,5,6,17,17,14,7,2,0,0,0,0,0,1,0,0,0,0
S00135445,7,5,8,1,2,8,5,5,9,14,9,10,11,11,16,7,4,2,1,0,0
S00135446,6,16,13,3,2,2,5,10,6,5,8,10,12,24,18,12,5,1,0,0,0
S00135447,11,7,7,4,11,6,11,19,13,4,8,16,3,3,7,0,0,1,1,0,0
S00135448,22,18,15,1,3,14,26,18,23,5,4,0,5,2,0,1,0,0,0,0,0
S00135449,0,1,4,1,2,2,0,2,3,4,7,3,3,18,12,19,16,13,5,1,0
S00135450,2,0,5,2,1,3,4,1,5,4,5,1,10,9,14,5,9,6,0,0,0
S00135451,1,0,0,2,1,6,0,2,1,6,2,4,6,7,5,12,10,1,0,0,0
S00135452,3,0,2,2,1,2,6,2,5,4,8,7,5,3,2,3,2,1,0,0,0
S00135453,6,4,4,5,5,21,14,5,10,6,6,8,5,3,1,2,4,1,3,0,0
S00135454,12,7,7,0,10,12,17,20,12,5,1,5,6,2,3,0,1,0,0,0,0
S00135455,0,2,7,8,8,2,5,7,4,9,6,8,1,13,8,6,5,0,0,0,0
S00135456,2,5,6,3,1,5,3,15,2,3,3,7,15,5,3,9,2,0,0,0,0
S00135457,3,2,1,0,0,5,4,7,4,4,6,2,5,12,7,5,3,2,0,0,0
S00135458,1,5,3,6,8,1,4,6,3,9,6,11,1,2,0,4,1,0,0,0,0
S00135459,0,6,1,3,4,6,5,4,10,1,9,6,10,17,3,10,9,5,3,1,0
S00135460,4,4,7,9,2,8,7,10,10,7,3,10,2,11,13,5,8,2,0,1,0
S00135461,8,16,11,12,5,2,11,10,6,7,3,7,7,14,8,3,1,0,1,0,0
S00135462,3,8,19,7,11,4,4,10,9,8,17,17,12,10,9,7,2,1,1,0,0
S00135463,5,7,7,4,5,7,3,10,5,3,7,19,16,15,7,6,4,0,3,0,0
S00135464,8,3,3,1,8,9,10,8,9,6,10,7,6,2,4,6,3,1,0,2,0
S00135465,2,5,3,1,2,6,8,9,5,4,5,5,17,10,7,6,11,7,0,0,0
S00135466,3,2,6,8,3,2,10,3,7,5,3,9,14,13,4,1,3,1,0,0,0
S00135467,5,3,4,7,3,2,10,4,6,4,6,10,9,3,11,2,5,2,0,0,0
S00135468,0,0,0,4,15,19,8,8,0,0,1,1,2,1,0,0,0,0,0,0,0
S00135469,2,0,0,3,6,1,2,0,7,2,8,11,12,18,15,16,2,3,0,0,0
S00135470,3,6,16,8,2,8,4,9,10,10,8,13,14,11,10,3,2,0,0,0,0
S00135471,11,7,11,14,8,8,16,10,14,8,9,10,3,7,6,10,6,0,1,0,0
S00135472,3,7,6,10,5,7,7,8,8,12,11,13,11,7,12,8,10,0,2,0,0
S00135473,5,8,11,6,4,5,13,5,12,5,7,4,10,15,7,4,4,2,0,0,0
S00135474,15,3,10,7,5,9,13,19,9,6,6,1,5,5,3,2,3,0,0,0,0
