oa_code_2021,white_total,asian_asian_scottish_or_asian_british_total,african_total,caribbean_or_black_total,other_ethnic_groups_total
S00138087,150,0,0,0,0
S00138088,99,1,0,1,0
S00138089,154,2,0,1,0
S00138090,86,2,0,0,0
S00138091,129,4,0,0,3
S00138092,134,0,1,0,0
S00138093,94,0,0,0,0
S00138094,186,0,0,0,0
S00138095,88,2,0,0,0
S00138096,144,0,0,0,2
S00138097,72,1,0,1,0
S00138098,135,0,0,0,0
S00138099,119,4,0,0,0
S00138100,149,1,0,0,0
S00138101,117,2,1,0,0
S00138102,95,1,0,0,0
S00138103,147,0,0,0,0
S00138104,65,3,0,0,0
S00138105,107,0,0,0,0
S00138106,148,0,0,0,0
S00138107,111,0,0,0,0
S00138108,100,1,0,0,0
S00138109,128,0,0,0,0
S00138110,154,2,0,0,0
S00138111,129,0,0,0,0
S00138112,143,0,0,0,0
S00138113,144,0,0,0,0
S00138114,100,1,0,0,0
S00138115,206,0,4,0,0
S00138116,125,0,0,0,0
S00138117,139,0,0,0,0
S00138118,177,0,3,0,0
S00138119,182,0,0,0,0
S00138120,134,0,0,0,0
S00138121,124,0,0,0,0
S00138122,104,0,0,0,0
S00138123,116,2,0,0,0
S00138124,195,0,0,0,2
S00138125,218,2,1,0,0
S00138126,190,0,0,0,0
S00138127,132,0,0,0,0
S00138128,190,2,0,0,0
S00138129,130,0,0,1,1
S00138130,166,2,0,0,0
S00138131,114,0,0,0,0
S00138132,131,1,0,0,3
S00138133,67,0,0,0,0
S00138134,120,0,0,0,0
S00138135,216,0,1,0,0
S00138136,149,0,0,0,0
S00138137,184,7,0,0,0
S00138138,244,7,0,0,0
S00138139,81,2,0,0,0
S00138140,134,0,0,0,0
S00138141,92,0,0,0,1
S00138142,82,0,0,0,0
S00138143,133,0,0,0,0
S00138144,214,0,1,0,0
S00138145,141,7,2,0,1
S00138146,190,4,2,0,0
S00138147,133,0,0,0,0
S00138148,180,0,0,0,5
S00138149,160,0,0,0,0
S00138150,65,1,0,0,0
S00138151,156,0,7,2,0
S00138152,197,0,0,0,0
S00138153,81,1,0,0,1
S00138154,90,0,0,0,0
S00138155,97,0,0,0,0
S00138156,135,2,0,0,0
S00138157,216,0,1,0,0
S00138158,97,0,0,0,0
S00138159,110,0,0,0,0
S00138160,217,6,3,1,3
S00138161,125,2,0,0,0
S00138162,204,1,0,0,1
S00138163,201,8,0,0,0
S00138164,142,1,0,0,0
S00138165,150,0,0,0,1
S00138166,139,1,0,0,0
S00138167,100,0,0,0,0
S00138168,86,2,0,0,0
S00138169,178,0,0,0,0
S00138170,100,0,0,0,0
S00138171,97,5,0,0,1
S00138172,115,1,0,0,0
S00138173,150,1,0,1,0
S00138174,115,1,0,0,0
S00138175,117,7,0,0,0
S00138176,111,0,5,0,5
S00138177,103,0,0,0,0
S00138178,111,0,0,0,0
S00138179,78,0,5,0,0
S00138180,143,0,0,0,2
S00138181,80,0,0,0,2
S00138182,112,3,0,0,0
S00138183,104,0,0,0,0
S00138184,91,0,0,0,2
S00138185,112,0,0,0,1
S00138186,99,0,0,0,0
S00138187,93,2,0,0,0
S00138188,119,4,0,0,0
S00138189,127,0,0,1,0
S00138190,62,0,0,0,0
S00138191,124,0,0,0,0
S00138192,124,0,0,0,0
S00138193,116,0,0,0,0
S00138194,151,0,1,0,0
S00138195,99,0,0,1,0
S00138196,109,1,0,0,0
S00138197,85,0,0,0,3
S00138198,147,0,0,0,0
S00138199,74,4,6,0,0
S00138200,113,2,0,0,0
S00138201,66,0,0,0,0
S00138202,153,3,1,0,1
S00138203,113,0,0,1,0
S00138204,95,1,0,0,3
S00138205,120,0,0,1,0
S00138206,117,7,0,0,1
S00138207,103,1,0,0,0
S00138208,143,0,0,0,0
S00138209,122,0,1,0,0
S00138210,123,1,0,1,2
S00138211,122,2,0,0,0
S00138212,163,0,0,0,0
S00138213,101,0,0,0,1
S00138214,125,1,0,0,1
S00138215,90,0,0,0,0
S00138216,144,0,4,0,0
S00138217,130,0,0,0,1
S00138218,84,0,0,0,0
S00138219,66,0,0,2,5
S00138220,101,6,0,1,0
S00138221,84,0,0,0,0
S00138222,134,0,0,0,2
S00138223,64,0,0,0,0
S00138224,118,5,0,0,0
S00138225,86,0,0,0,0
S00138226,129,3,0,0,0
S00138227,90,0,0,0,0
S00138228,133,1,0,0,0
S00138229,150,2,0,0,0
S00138230,72,0,1,4,0
S00138231,119,0,0,0,0
S00138232,76,8,0,0,0
S00138233,140,0,0,0,0
S00138234,101,0,1,0,0
S00138235,158,1,0,0,1
S00138236,181,0,0,0,1
S00138237,116,5,1,0,0
S00138238,146,0,0,0,1
S00138239,178,0,0,0,1
S00138240,112,2,0,0,0
S00138241,152,1,0,0,0
S00138242,110,0,0,0,0
S00138243,112,0,0,0,0
S00138244,125,0,1,0,0
S00138245,104,0,0,0,0
S00138246,214,0,0,0,0
S00138247,138,0,2,0,0
S00138248,128,0,1,0,0
S00138249,182,1,0,0,0
S00138250,190,2,0,2,0
S00138251,89,0,0,1,0
S00138252,147,0,0,0,0
S00138253,103,1,0,0,0
S00138254,165,1,0,0,0
S00138255,117,0,0,0,0
S00138256,98,0,0,0,0
S00138257,86,1,0,1,0
S00138258,125,0,0,0,0
S00138259,101,0,0,0,0
S00138260,163,0,2,0,0
S00138261,135,4,0,0,0
S00138262,101,0,0,0,0
S00138263,94,0,0,0,0
S00138264,170,0,0,0,0
S00138265,124,0,0,0,0
S00138266,145,0,0,0,3
S00138267,106,0,0,0,0
S00138268,120,0,0,0,0
S00138269,146,5,0,1,2
S00138270,143,0,0,0,0
S00138271,110,0,0,0,0
S00138272,107,0,0,0,0
S00138273,181,0,5,1,0
S00138274,86,5,0,0,2
S00138275,170,3,4,0,1
S00138276,176,0,0,0,0
S00138277,96,0,0,0,0
S00138278,143,0,0,0,0
S00138279,113,0,0,0,0
S00138280,110,0,0,0,0
S00138281,115,0,0,0,0
S00138282,117,0,0,0,0
S00138283,114,0,0,0,0
S00138284,184,0,0,0,0
S00138285,112,0,0,0,0
S00138286,128,0,0,2,0
S00138287,108,0,0,0,0
S00138288,110,1,0,0,0
S00138289,75,0,0,0,0
S00138290,113,0,0,0,0
S00138291,91,2,0,0,1
S00138292,115,0,0,0,0
S00138293,188,1,0,0,0
S00138294,123,0,0,0,0
S00138295,144,2,0,0,0
S00138296,82,0,0,0,1
S00138297,142,1,0,0,0
S00138298,110,0,0,0,0
S00138299,144,0,0,0,0
S00138300,127,0,0,0,2
S00138301,111,2,0,0,1
S00138302,127,2,0,0,0
S00138303,131,0,0,0,0
S00138304,143,2,0,0,0
S00138305,118,0,0,0,0
S00138306,228,4,0,0,0
S00138307,107,1,0,0,0
S00138308,146,0,0,0,0
S00138309,176,4,1,0,0
S00138310,81,0,0,0,0
S00138311,121,2,0,0,0
S00138312,120,0,0,0,0
S00138313,97,0,0,0,0
S00138314,116,3,0,0,4
S00138315,125,1,0,0,8
S00138316,123,0,0,0,1
S00138317,112,2,0,2,0
S00138318,91,1,0,0,0
S00138319,117,0,0,0,0
S00138320,168,3,1,0,2
S00138321,132,0,0,0,0
S00138322,169,3,2,0,0
S00138323,132,2,0,2,0
S00138324,174,4,0,0,5
S00138325,99,0,0,0,0
S00138326,170,1,0,0,0
S00138327,67,0,0,0,0
S00138328,101,2,0,0,1
S00138329,173,0,0,0,0
S00138330,71,0,0,0,0
S00138331,122,1,0,0,0
S00138332,132,0,5,0,2
S00138333,112,2,0,0,0
S00138334,155,0,0,0,0
S00138335,137,0,0,0,0
S00138336,173,2,5,0,0
S00138337,147,6,0,0,0
S00138338,81,0,6,0,0
S00138339,136,0,0,1,1
S00138340,91,0,0,0,0
S00138341,94,0,0,3,1
S00138342,121,0,5,0,0
S00138343,122,3,1,0,0
S00138344,95,3,0,4,0
S00138345,157,1,0,0,0
S00138346,181,0,0,0,0
S00138347,185,0,0,0,1
S00138348,141,2,0,0,0
S00138349,75,3,0,0,0
S00138350,167,0,0,0,0
S00138351,128,1,0,0,0
S00138352,141,3,0,0,0
S00138353,195,12,0,0,0
S00138354,171,1,0,1,0
S00138355,127,0,0,2,0
S00138356,141,0,0,0,4
S00138357,144,0,0,1,0
S00138358,109,0,0,0,1
S00138359,193,1,6,0,0
S00138360,90,1,0,0,0
S00138361,148,4,3,0,0
S00138362,186,1,0,0,0
S00138363,163,6,7,0,1
S00138364,150,4,0,0,0
S00138365,208,2,0,0,0
S00138366,121,1,0,0,1
S00138367,190,6,1,0,2
S00138368,130,0,0,0,2
S00138369,192,1,0,0,0
S00138370,170,0,0,0,0
S00138371,117,0,0,0,0
S00138372,86,0,1,0,0
S00138373,127,0,0,0,0
S00138374,96,0,0,0,1
S00138375,228,1,0,0,4
S00138376,184,9,8,0,0
S00138377,158,3,0,0,2
S00138378,169,0,1,0,0
S00138379,82,0,0,0,1
S00138380,97,0,0,0,0
S00138381,160,7,7,0,0
S00138382,113,0,0,0,0
S00138383,234,9,0,0,1
S00138384,155,3,0,0,0
S00138385,169,7,0,0,0
S00138386,164,4,7,0,0
S00138387,184,6,0,0,0
S00138388,119,0,0,0,3
S00138389,83,0,5,0,0
S00138390,86,2,0,0,1
S00138391,80,1,0,0,0
S00138392,101,1,0,0,0
S00138393,138,0,0,0,0
S00138394,133,0,0,0,0
S00138395,133,1,5,0,2
S00138396,101,0,0,0,0
S00138397,87,3,0,0,0
S00138398,120,1,0,0,0
S00138399,86,0,0,0,0
S00138400,124,0,0,0,1
S00138401,74,0,6,0,5
S00138402,127,0,0,0,0
S00138403,142,0,0,0,2
S00138404,95,0,1,0,0
S00138405,132,0,0,0,0
S00138406,149,0,0,0,0
S00138407,88,4,0,0,0
S00138408,141,0,0,0,0
S00138409,96,6,0,0,0
S00138410,68,0,0,0,0
S00138411,75,4,1,0,4
S00138412,101,0,1,0,0
S00138413,63,0,0,0,0
S00138414,92,0,0,0,0
S00138415,88,0,0,0,0
S00138416,92,1,6,0,0
S00138417,145,0,0,0,0
S00138418,102,0,0,0,0
S00138419,71,0,0,0,2
S00138420,92,0,0,1,0
S00138421,123,0,0,4,7
S00138422,93,10,0,0,0
S00138423,105,1,0,0,0
S00138424,112,0,0,0,0
S00138425,61,0,0,0,0
S00138426,75,2,0,0,0
S00138427,104,0,0,0,1
S00138428,110,2,0,0,3
S00138429,98,0,0,0,0
S00138430,165,0,1,0,0
S00138431,89,2,0,0,0
S00138432,112,1,0,0,0
S00138433,115,2,0,1,2
S00138434,130,2,0,0,0
S00138435,173,1,0,0,7
S00138436,134,0,1,0,0
S00138437,116,0,0,0,1
S00138438,100,2,0,0,0
S00138439,73,5,0,0,0
S00138440,68,2,0,0,3
S00138441,97,0,0,0,1
S00138442,148,4,0,0,5
S00138443,76,0,0,0,0
S00138444,105,2,0,0,7
S00138445,150,0,0,0,0
S00138446,79,0,0,0,2
S00138447,146,4,0,0,4
S00138448,145,3,0,0,0
S00138449,149,1,0,0,0
S00138450,56,0,9,0,4
S00138451,108,0,0,2,0
S00138452,101,2,0,2,8
S00138453,69,0,0,0,0
S00138454,106,0,0,0,12
S00138455,136,0,0,0,0
S00138456,119,1,0,0,1
S00138457,69,0,0,0,0
S00138458,133,8,5,0,0
S00138459,160,0,0,3,2
S00138460,126,0,0,0,0
S00138461,80,0,0,0,0
S00138462,63,2,0,1,3
S00138463,156,0,1,0,4
S00138464,54,0,6,0,1
S00138465,164,0,0,0,0
S00138466,123,0,0,0,0
S00138467,95,7,0,0,0
S00138468,79,0,0,0,0
S00138469,125,0,0,0,4
S00138470,175,0,0,0,0
S00138471,62,0,0,0,1
S00138472,63,0,0,1,0
S00138473,159,2,0,0,0
S00138474,89,0,0,0,0
S00138475,89,0,0,0,0
S00138476,108,0,0,0,0
S00138477,85,0,0,0,0
S00138478,113,0,0,0,0
S00138479,131,0,2,0,1
S00138480,137,5,0,0,3
S00138481,148,1,0,0,0
S00138482,121,3,0,0,2
S00138483,60,0,0,0,0
S00138484,76,3,1,0,0
S00138485,153,3,0,0,0
S00138486,77,0,1,0,1
S00138487,119,3,0,0,2
S00138488,122,0,0,0,0
S00138489,118,1,0,0,2
S00138490,168,5,0,0,0
S00138491,119,0,0,0,0
S00138492,122,1,0,0,4
S00138493,143,5,0,0,0
S00138494,105,1,0,0,4
S00138495,77,0,0,0,5
S00138496,115,1,0,0,0
S00138497,153,1,6,1,0
S00138498,160,0,2,0,0
S00138499,195,0,0,2,0
S00138500,142,0,0,0,0
S00138501,65,5,4,0,2
S00138502,123,0,0,0,0
S00138503,119,0,0,0,0
S00138504,143,2,0,0,0
S00138505,148,0,0,0,2
S00138506,171,1,0,0,0
S00138507,83,0,0,0,1
S00138508,87,0,4,0,8
S00138509,130,0,0,1,0
S00138510,180,7,8,0,0
S00138511,185,0,0,0,0
S00138512,89,1,0,0,0
S00138513,174,6,10,5,1
S00138514,110,0,2,0,0
S00138515,167,0,0,0,0
S00138516,102,0,0,0,0
S00138517,153,0,2,0,0
S00138518,83,8,0,0,0
S00138519,140,1,0,0,0
S00138520,134,0,0,0,0
S00138521,81,3,0,0,0
S00138522,93,0,0,0,0
S00138523,82,0,0,0,0
S00138524,69,0,0,0,0
S00138525,96,0,0,0,0
S00138526,108,0,0,0,0
S00138527,88,0,2,1,0
S00138528,122,0,0,0,0
S00138529,146,1,1,4,0
S00138530,76,0,0,0,0
S00138531,77,0,0,0,0
S00138532,140,0,0,0,0
S00138533,128,0,0,2,3
S00138534,128,2,1,0,0
S00138535,152,10,6,0,0
S00138536,161,0,4,0,0
S00138537,108,3,1,0,1
S00138538,168,0,0,0,0
S00138539,171,2,0,0,0
S00138540,173,1,0,1,0
S00138541,166,1,0,0,0
S00138542,92,4,0,0,0
S00138543,98,0,0,0,0
S00138544,138,0,2,0,0
S00138545,118,1,0,0,0
S00138546,166,0,0,0,0
S00138547,172,6,0,0,0
S00138548,96,9,0,0,0
S00138549,112,1,0,0,0
S00138550,120,0,0,0,0
S00138551,111,6,0,0,0
S00138552,138,1,0,0,0
S00138553,124,1,0,0,0
S00138554,96,0,1,0,0
S00138555,69,0,0,0,0
S00138556,172,0,0,0,0
S00138557,138,0,0,0,0
S00138558,102,0,0,0,0
S00138559,150,6,5,0,0
S00138560,189,0,0,0,0
S00138561,153,3,7,2,0
S00138562,151,0,1,0,0
S00138563,122,4,4,0,0
S00138564,161,0,6,0,0
S00138565,71,0,1,0,0
S00138566,78,0,0,0,0
S00138567,175,3,0,0,0
S00138568,65,0,0,0,1
S00138569,171,1,0,0,0
S00138570,215,4,2,0,0
S00138571,145,12,4,0,5
S00138572,179,2,0,0,0
S00138573,150,0,0,0,1
S00138574,163,1,0,0,0
S00138575,136,0,0,0,0
S00138576,129,10,0,0,0
S00138577,71,0,0,0,0
S00138578,134,0,4,0,5
S00138579,191,2,0,0,2
S00138580,117,5,0,0,3
S00138581,97,0,0,0,0
S00138582,81,0,0,0,1
S00138583,133,1,2,0,0
S00138584,178,0,0,0,0
S00138585,110,0,3,0,0
S00138586,98,0,2,0,0
S00138587,112,0,0,0,0
S00138588,113,0,0,0,2
S00138589,157,2,2,0,1
S00138590,140,0,0,1,0
S00138591,110,1,0,0,0
S00138592,65,4,0,0,0
S00138593,164,2,0,0,0
S00138594,148,4,0,0,0
S00138595,135,1,0,0,0
S00138596,94,0,2,0,0
S00138597,152,3,0,0,0
S00138598,66,2,0,0,0
S00138599,108,1,0,0,7
S00138600,130,0,0,0,0
S00138601,121,3,4,2,0
S00138602,107,0,0,0,2
S00138603,86,0,0,0,0
S00138604,134,2,0,0,1
S00138605,189,0,0,0,5
S00138606,108,1,0,0,0
S00138607,60,0,0,0,0
S00138608,89,0,1,0,0
S00138609,115,3,1,0,0
S00138610,127,0,4,0,0
S00138611,94,4,0,0,1
S00138612,78,1,0,0,0
S00138613,139,0,0,0,2
S00138614,179,0,0,0,0
S00138615,139,0,1,0,0
S00138616,86,4,0,0,0
S00138617,164,5,0,0,0
S00138618,81,0,0,0,0
S00138619,121,2,4,0,0
S00138620,110,0,0,0,0
S00138621,75,0,0,0,0
S00138622,137,6,0,0,1
S00138623,101,0,6,0,1
S00138624,73,1,0,0,0
S00138625,140,0,0,0,6
S00138626,99,0,0,0,0
S00138627,82,0,0,0,0
S00138628,70,1,0,0,0
S00138629,105,0,0,0,0
S00138630,96,0,0,0,1
S00138631,156,1,0,0,0
S00138632,144,0,0,0,0
S00138633,71,0,0,0,0
S00138634,114,0,0,0,1
S00138635,103,0,5,0,0
S00138636,103,3,0,0,0
S00138637,77,1,0,0,0
S00138638,137,2,2,0,1
S00138639,125,4,0,0,0
S00138640,86,1,0,0,0
S00138641,150,1,0,4,0
S00138642,91,4,1,0,0
S00138643,107,1,0,0,0
S00138644,80,2,0,0,0
S00138645,157,1,0,0,0
S00138646,125,0,0,0,3
S00138647,163,0,0,1,0
S00138648,109,1,0,0,7
S00138649,121,0,1,0,0
S00138650,171,0,0,1,5
S00138651,94,0,0,0,0
S00138652,127,0,0,0,0
S00138653,139,0,0,0,0
S00138654,156,0,0,0,0
S00138655,117,3,0,0,0
S00138656,140,0,0,0,2
S00138657,240,8,0,0,0
S00138658,72,2,0,0,0
S00138659,135,0,0,0,0
S00138660,119,1,0,0,0
S00138661,106,2,0,0,1
S00138662,147,0,0,0,0
S00138663,125,3,0,0,0
S00138664,132,1,0,0,0
S00138665,177,5,0,0,0
S00138666,63,0,0,0,0
S00138667,106,0,0,0,0
S00138668,168,0,0,0,0
S00138669,139,4,0,0,2
S00138670,164,2,6,0,0
S00138671,81,0,0,0,0
S00138672,168,1,2,0,0
S00138673,173,1,0,0,0
S00138674,106,1,0,0,1
S00138675,77,0,0,0,1
S00138676,103,3,0,0,0
S00138677,173,1,0,0,0
S00138678,108,0,0,0,0
S00138679,258,5,0,0,0
S00138680,102,0,0,0,3
S00138681,131,4,0,0,0
S00138682,103,1,0,0,0
S00138683,91,0,0,0,0
S00138684,118,1,0,0,1
S00138685,86,0,0,0,0
S00138686,131,2,0,0,0
S00138687,104,0,0,0,0
S00138688,129,7,0,0,0
S00138689,162,0,0,0,0
S00138690,118,2,0,0,0
S00138691,93,5,0,0,0
S00138692,87,0,0,0,0
S00138693,117,7,0,0,15
S00138694,121,0,6,0,0
S00138695,120,1,0,0,0
S00138696,110,1,0,0,1
S00138697,165,10,0,0,0
S00138698,159,4,0,0,0
S00138699,108,0,0,0,0
S00138700,118,0,0,0,0
S00138701,119,8,8,4,0
S00138702,230,1,16,3,0
S00138703,145,3,0,0,2
S00138704,187,5,6,0,7
S00138705,180,0,7,1,11
S00138706,119,2,0,0,0
S00138707,134,1,0,0,0
S00138708,142,2,0,0,1
S00138709,114,5,0,0,0
S00138710,167,3,6,0,0
S00138711,142,0,0,0,0
S00138712,111,0,0,0,0
S00138713,118,0,0,0,0
S00138714,144,0,0,0,0
S00138715,150,6,12,0,0
S00138716,131,0,0,0,0
S00138717,125,0,0,0,0
S00138718,141,0,0,0,1
S00138719,110,1,5,0,0
S00138720,78,0,0,0,0
S00138721,102,0,0,0,0
S00138722,141,0,0,1,0
S00138723,145,6,0,0,0
S00138724,108,0,0,0,0
S00138725,121,4,0,1,2
S00138726,184,0,0,0,0
S00138727,203,0,0,0,1
S00138728,181,9,0,0,0
S00138729,90,0,0,0,0
S00138730,95,0,0,0,0
S00138731,78,1,0,0,1
S00138732,122,4,0,0,2
S00138733,71,0,0,0,0
S00138734,101,0,0,0,0
S00138735,118,4,0,0,2
S00138736,119,0,0,0,0
S00138737,129,1,0,0,0
S00138738,107,0,0,0,0
S00138739,219,0,4,0,0
S00138740,83,0,0,0,0
S00138741,164,0,0,0,1
S00138742,126,1,0,0,0
S00138743,141,0,0,0,1
S00138744,160,2,0,0,7
S00138745,110,0,0,0,0
S00138746,143,0,0,0,0
S00138747,190,8,19,0,7
S00138748,163,4,0,0,15
S00138749,146,4,3,0,3
S00138750,137,1,0,0,0
S00138751,204,5,0,1,2
S00138752,169,7,1,0,0
S00138753,84,5,5,0,0
S00138754,191,13,13,0,7
S00138755,138,0,0,0,0
S00138756,137,4,0,0,4
S00138757,160,1,20,2,5
S00138758,86,9,0,0,0
S00138759,76,4,0,0,0
S00138760,171,6,0,0,1
S00138761,93,5,1,0,9
S00138762,96,4,4,0,0
S00138763,153,5,0,0,5
S00138764,133,0,0,0,2
S00138765,133,0,4,0,0
S00138766,100,1,4,0,7
S00138767,223,0,0,0,2
S00138768,88,5,0,0,1
S00138769,124,13,18,0,0
S00138770,150,8,0,0,0
S00138771,124,1,2,0,4
S00138772,98,0,0,0,0
S00138773,81,2,0,0,0
S00138774,78,0,8,2,1
S00138775,118,1,0,0,0
S00138776,141,1,8,0,4
S00138777,125,10,0,0,0
S00138778,145,7,5,0,7
S00138779,83,5,0,0,0
S00138780,137,5,0,0,0
S00138781,104,0,0,0,0
S00138782,88,4,0,0,4
S00138783,99,3,0,0,0
S00138784,79,9,3,0,0
S00138785,91,0,8,0,3
S00138786,105,1,8,0,0
S00138787,152,4,0,1,2
S00138788,67,8,0,0,0
S00138789,71,1,0,0,0
S00138790,133,1,0,0,0
S00138791,114,0,6,0,0
S00138792,189,1,0,0,1
S00138793,127,16,4,0,7
S00138794,131,0,0,0,0
S00138795,99,4,0,0,0
S00138796,178,4,0,0,0
S00138797,149,0,1,0,6
S00138798,212,6,0,0,0
S00138799,119,2,4,0,3
S00138800,126,6,0,0,0
S00138801,123,0,5,0,4
S00138802,156,1,0,0,0
S00138803,167,0,0,6,5
S00138804,127,8,0,0,0
S00138805,189,10,7,0,0
S00138806,158,4,0,0,1
S00138807,67,0,0,0,0
S00138808,112,1,0,0,0
S00138809,129,0,0,0,2
S00138810,146,0,0,0,0
S00138811,65,4,0,0,0
S00138812,148,0,0,0,0
S00138813,136,4,0,0,0
S00138814,97,0,0,0,0
S00138815,89,0,0,0,1
S00138816,137,5,0,0,0
S00138817,145,3,2,0,1
S00138818,131,4,0,0,0
S00138819,156,0,6,0,3
S00138820,61,0,0,0,5
S00138821,76,0,2,0,0
S00138822,77,0,0,0,0
S00138823,99,8,0,0,0
S00138824,98,9,0,0,4
S00138825,95,0,0,0,0
S00138826,192,15,0,0,5
S00138827,146,4,0,0,4
S00138828,135,12,3,0,6
S00138829,108,7,0,0,0
S00138830,168,5,0,1,0
S00138831,152,14,9,0,0
S00138832,84,6,0,0,3
S00138833,168,9,0,0,1
S00138834,61,0,0,0,0
S00138835,69,4,0,0,4
S00138836,170,22,15,4,5
S00138837,107,1,0,0,0
S00138838,147,4,0,0,0
S00138839,104,0,0,0,5
S00138840,94,22,5,0,4
S00138841,141,14,0,0,0
S00138842,128,4,0,0,0
S00138843,135,1,0,0,0
S00138844,155,1,0,0,6
S00138845,118,0,0,0,0
S00138846,163,4,0,0,0
S00138847,69,0,0,0,0
S00138848,69,0,0,0,0
S00138849,78,0,0,0,0
S00138850,92,0,0,0,0
S00138851,186,0,0,0,0
S00138852,151,0,0,0,0
S00138853,99,0,0,0,0
S00138854,114,1,0,0,0
S00138855,137,0,0,0,0
S00138856,179,2,0,0,0
S00138857,84,1,0,0,0
S00138858,153,0,4,2,0
S00138859,125,0,0,0,1
S00138860,103,0,0,0,0
S00138861,146,5,0,0,0
S00138862,217,7,4,0,5
S00138863,117,2,0,0,0
S00138864,104,1,0,0,0
S00138865,93,1,0,1,0
S00138866,97,1,0,1,0
S00138867,171,5,4,0,1
S00138868,94,0,0,0,0
S00138869,110,0,0,0,0
S00138870,127,4,0,0,0
S00138871,88,0,0,0,2
S00138872,210,1,1,0,0
S00138873,112,2,3,4,0
S00138874,153,0,2,0,2
S00138875,109,3,0,0,0
S00138876,188,0,0,0,1
S00138877,101,0,0,0,0
S00138878,80,0,0,0,0
S00138879,81,0,0,0,1
S00138880,88,0,0,0,0
S00138881,82,12,3,2,4
S00138882,76,0,0,0,1
S00138883,80,0,0,0,0
S00138884,119,0,0,0,0
S00138885,131,0,0,0,0
S00138886,82,0,0,0,0
S00138887,169,5,4,2,1
S00138888,88,0,0,0,8
S00138889,103,2,0,0,0
S00138890,72,0,0,0,0
S00138891,78,2,4,2,0
S00138892,70,0,0,0,0
S00138893,115,0,0,0,0
S00138894,139,0,0,0,0
S00138895,81,6,0,0,0
S00138896,65,3,0,0,2
S00138897,204,7,4,0,2
S00138898,160,4,0,0,0
S00138899,65,1,0,0,0
S00138900,137,1,0,0,0
S00138901,134,0,0,0,0
S00138902,154,1,0,0,0
S00138903,157,1,0,0,0
S00138904,103,3,0,0,0
S00138905,162,12,14,0,6
S00138906,128,0,0,0,2
S00138907,153,0,0,0,1
S00138908,119,0,0,0,8
S00138909,131,10,8,0,2
S00138910,168,1,0,0,0
S00138911,100,0,0,0,0
S00138912,101,0,0,0,0
S00138913,102,3,1,0,0
S00138914,178,4,0,0,0
S00138915,209,0,2,0,0
S00138916,89,0,6,0,0
S00138917,84,0,0,0,1
S00138918,130,0,12,1,0
S00138919,151,4,0,0,0
S00138920,67,0,6,0,0
S00138921,156,0,0,0,0
S00138922,121,0,0,0,6
S00138923,81,0,0,0,0
S00138924,164,0,6,0,5
S00138925,105,0,0,0,0
S00138926,72,1,0,0,0
S00138927,89,0,0,0,0
S00138928,116,0,0,0,1
S00138929,86,0,0,0,0
S00138930,115,13,5,0,1
S00138931,73,0,0,0,0
S00138932,158,1,0,0,0
S00138933,74,1,0,0,0
S00138934,69,1,0,0,0
S00138935,113,0,0,1,0
S00138936,74,0,0,0,2
S00138937,144,0,0,0,0
S00138938,99,0,0,0,0
S00138939,112,2,2,0,0
S00138940,157,18,15,0,1
S00138941,138,2,0,0,0
S00138942,116,0,0,0,0
S00138943,124,21,5,0,1
S00138944,61,0,0,0,0
S00138945,115,1,0,0,1
S00138946,82,2,0,0,0
S00138947,122,0,0,0,0
S00138948,105,0,0,0,0
S00138949,179,14,29,0,0
S00138950,77,2,0,0,0
S00138951,176,26,29,0,22
S00138952,103,11,20,0,0
S00138953,117,12,8,0,0
S00138954,136,9,15,0,0
S00138955,117,13,19,0,5
S00138956,177,4,4,0,0
S00138957,149,3,0,0,4
S00138958,122,3,6,0,4
S00138959,141,5,17,0,8
S00138960,81,0,0,0,0
S00138961,173,4,0,0,4
S00138962,102,0,0,0,0
S00138963,113,0,1,0,1
S00138964,183,9,21,0,10
S00138965,120,7,6,1,2
S00138966,115,3,30,0,0
S00138967,136,1,29,2,5
S00138968,100,1,0,0,0
S00138969,180,10,0,0,0
S00138970,135,20,32,0,6
S00138971,193,1,0,0,2
S00138972,80,2,0,0,0
S00138973,158,7,15,0,0
S00138974,144,4,0,0,0
S00138975,181,13,0,1,0
S00138976,103,0,0,0,2
S00138977,123,0,0,0,0
S00138978,164,1,0,0,0
S00138979,67,1,10,0,0
S00138980,179,0,0,0,0
S00138981,171,3,0,0,0
S00138982,116,0,0,0,0
S00138983,129,0,0,1,0
S00138984,111,2,0,0,0
S00138985,62,3,0,0,3
S00138986,126,10,0,0,0
S00138987,124,4,5,0,0
S00138988,133,1,0,0,0
S00138989,118,0,0,0,0
S00138990,105,0,0,0,0
S00138991,176,1,0,0,0
S00138992,117,6,5,0,0
S00138993,189,2,0,0,2
S00138994,153,1,0,0,2
S00138995,108,2,0,0,0
S00138996,79,3,0,0,1
S00138997,73,0,0,0,0
S00138998,133,0,1,0,2
S00138999,194,0,0,0,0
S00139000,152,1,0,0,0
S00139001,107,2,0,0,0
S00139002,93,6,0,0,0
S00139003,157,0,1,4,2
S00139004,102,0,0,0,0
S00139005,69,5,4,0,0
S00139006,128,0,0,0,0
S00139007,71,1,1,0,0
S00139008,135,4,3,0,0
S00139009,205,0,0,0,0
S00139010,157,1,2,0,0
S00139011,98,0,0,0,0
S00139012,88,0,0,0,0
S00139013,163,0,0,0,0
S00139014,166,3,0,0,1
S00139015,99,6,0,0,0
