oa_code_2021,white_total,asian_asian_scottish_or_asian_british_total,african_total,caribbean_or_black_total,other_ethnic_groups_total
S00135441,113,11,1,0,0
S00135442,66,0,0,0,1
S00135443,80,4,5,0,5
S00135444,79,15,5,0,0
S00135445,124,5,7,0,1
S00135446,151,5,0,0,4
S00135447,126,7,1,2,0
S00135448,147,12,7,0,0
S00135449,98,0,0,0,0
S00135450,92,0,0,0,0
S00135451,68,0,0,0,0
S00135452,62,0,1,0,0
S00135453,99,6,1,0,0
S00135454,98,4,5,0,10
S00135455,100,5,0,0,1
S00135456,85,2,0,0,0
S00135457,63,2,1,0,1
S00135458,79,5,0,0,0
S00135459,120,3,0,0,0
S00135460,108,13,0,0,0
S00135461,124,3,5,0,0
S00135462,146,8,0,0,0
S00135463,137,12,2,0,0
S00135464,97,8,0,0,0
S00135465,103,1,0,0,0
S00135466,96,5,0,0,0
S00135467,92,0,0,0,2
S00135468,65,0,1,0,0
S00135469,121,0,0,0,0
S00135470,123,7,5,0,0
S00135471,145,1,0,0,0
S00135472,126,11,7,0,1
S00135473,124,5,3,0,0
S00135474,105,15,1,0,0
S00135475,97,0,0,0,0
S00135476,101,4,0,0,0
S00135477,89,12,9,0,0
S00135478,93,0,0,0,5
S00135479,120,5,0,0,0
S00135480,110,7,6,0,1
S00135481,118,7,6,0,0
S00135482,66,8,6,0,0
S00135483,113,0,2,0,0
S00135484,65,15,1,2,0
S00135485,152,5,5,0,1
S00135486,99,3,8,0,7
S00135487,150,7,0,0,0
S00135488,112,4,0,0,0
S00135489,138,4,0,0,0
S00135490,131,0,0,0,3
S00135491,89,10,13,0,18
S00135492,117,3,0,0,4
S00135493,156,1,6,3,0
S00135494,88,2,6,0,0
S00135495,87,11,0,0,0
S00135496,100,6,0,0,0
S00135497,204,26,6,0,0
S00135498,92,25,0,0,27
S00135499,112,10,5,0,0
S00135500,105,7,4,3,0
S00135501,128,8,0,0,0
S00135502,97,5,17,0,9
S00135503,74,6,8,0,0
S00135504,134,4,2,0,0
S00135505,127,25,4,4,7
S00135506,84,0,5,0,0
S00135507,149,15,19,0,3
S00135508,62,3,0,0,0
S00135509,121,0,4,0,0
S00135510,108,2,0,0,0
