oa_code_2021,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,pagan,other_religion,no_religion,religion_not_stated
S00135503,21,0,7,0,4,0,0,1,0,0,52,2
S00135504,48,8,2,0,0,0,2,0,0,1,74,8
S00135505,17,10,16,0,11,0,11,0,0,1,93,8
S00135506,15,4,16,0,0,0,0,0,0,0,50,2
S00135507,31,4,27,1,6,0,7,0,0,0,95,11
S00135508,13,3,4,0,0,0,0,0,1,0,45,1
S00135509,17,10,15,0,0,0,0,0,0,0,70,4
S00135510,23,0,3,2,0,0,0,0,0,0,79,2
S00135511,14,5,5,0,0,0,2,0,0,0,87,4
S00135512,25,8,8,1,0,0,0,0,0,0,70,8
S00135513,19,13,3,0,0,0,0,0,1,0,66,8
S00135514,25,10,2,0,3,0,0,0,0,1,68,4
S00135515,42,11,15,0,0,0,2,0,0,0,86,7
S00135516,3,11,26,0,0,0,0,0,0,0,111,2
S00135517,10,9,10,0,0,0,0,0,0,0,78,2
S00135518,19,3,2,0,0,2,5,0,0,0,48,5
S00135519,32,6,10,0,0,0,0,0,0,0,84,11
S00135520,24,2,16,1,0,0,8,0,0,0,87,12
S00135521,9,8,1,1,0,0,8,0,0,0,80,11
S00135522,19,10,4,0,0,0,0,0,0,1,57,1
S00135523,28,2,3,0,0,0,3,0,0,0,30,6
S00135524,33,5,6,0,0,1,3,0,0,4,60,3
S00135525,14,22,6,0,3,0,0,0,0,0,71,0
S00135526,32,3,2,0,0,0,2,0,1,0,64,7
S00135527,12,8,4,0,0,0,0,0,0,0,43,4
S00135528,34,12,7,0,0,0,0,0,0,1,94,20
S00135529,36,8,2,0,0,0,0,0,0,0,78,16
S00135530,22,7,12,0,0,0,0,0,0,0,42,6
S00135531,26,13,0,2,0,0,2,0,0,2,53,5
S00135532,7,0,9,2,2,2,5,0,0,0,71,6
S00135533,23,10,7,0,4,2,0,0,1,0,75,12
S00135534,21,8,3,1,8,0,0,0,0,0,68,3
