oa_code,one_person_household_aged_65_and_over,one_person_household_aged_under_65,one_family_only_all_aged_65_and_over,one_family_only_married_or_same_sex_civil_partnership_couple_no_children,one_family_only_married_or_same_sex_civil_partnership_couple_with_dependent_children,one_family_only_married_or_same_sex_civil_partnership_couple_all_children_non_dependent,one_family_only_cohabiting_couple_no_children,one_family_only_cohabiting_couple_with_dependent_children,one_family_only_cohabiting_couple_all_children_non_dependent,one_family_only_lone_parent_with_dependent_children,one_family_only_lone_parent_all_children_non_dependent,other_households_with_dependent_children,other_households_all_full_time_students,other_households_all_aged_65_and_over,other_households_other
S00118457,15,4,8,4,3,3,3,0,0,1,0,0,0,1,0
S00118458,7,5,4,5,2,1,4,0,0,3,4,0,0,0,0
S00118459,8,8,3,4,9,7,0,5,0,5,11,3,0,1,5
S00118460,18,11,3,6,7,1,1,4,0,6,6,2,0,0,2
S00118461,12,19,4,5,13,4,6,2,0,1,2,1,0,0,4
S00118462,17,12,3,1,4,2,1,2,0,1,2,0,0,0,4
S00118463,16,23,0,6,2,2,3,1,0,8,4,2,0,0,3
S00118464,11,22,3,8,2,0,5,5,0,0,0,0,0,0,3
S00118465,10,35,5,5,2,2,5,1,0,0,2,1,0,0,5
S00118466,14,33,2,4,1,2,11,1,0,0,2,1,0,0,0
S00118467,7,5,9,13,10,2,4,3,0,1,2,0,0,0,1
S00118468,12,25,5,0,3,2,3,2,0,2,6,1,0,0,6
S00118469,2,11,0,3,1,2,0,1,0,8,1,2,0,0,4
S00118470,4,21,3,8,4,3,1,1,0,3,2,0,0,0,3
S00118471,2,21,1,4,4,0,6,0,1,1,0,1,0,0,3
S00118472,4,21,4,6,5,4,8,2,1,4,5,3,0,0,10
S00118473,5,23,0,2,3,1,5,2,0,3,1,0,0,1,5
S00118474,5,25,2,6,0,2,10,1,0,3,2,2,0,0,3
S00118475,8,8,3,3,5,2,2,1,0,5,2,0,0,0,2
S00118476,10,7,5,5,6,5,4,0,0,1,4,0,0,0,0
S00118477,12,5,6,4,1,0,4,5,0,4,1,0,0,1,1
S00118478,16,5,4,2,4,1,6,4,0,5,10,1,0,1,3
S00118479,14,10,6,4,6,5,3,2,0,2,3,1,0,0,1
S00118480,9,7,3,5,9,3,2,0,1,5,1,3,0,0,0
S00118481,9,8,3,12,7,4,4,0,0,2,5,0,0,1,6
S00118482,6,11,4,11,7,9,5,3,0,2,2,1,0,0,1
S00118483,3,22,1,4,2,1,7,3,0,0,1,0,0,0,1
S00118484,4,14,3,5,1,3,6,0,1,3,1,2,0,1,7
S00118485,7,13,1,7,2,2,9,0,2,4,1,0,0,0,6
S00118486,35,2,8,0,0,0,1,0,0,0,0,0,0,1,0
S00118487,3,12,0,4,3,0,6,0,1,1,1,0,0,0,11
S00118488,10,21,3,9,13,5,4,1,0,5,4,3,0,0,5
S00118489,9,20,2,5,8,2,3,3,0,2,7,1,0,0,0
S00118490,7,11,1,7,8,5,2,5,1,2,6,1,0,0,1
S00118491,1,1,7,22,9,8,2,0,2,2,1,1,0,0,1
S00118492,5,20,0,5,4,2,9,0,0,0,1,0,0,0,0
S00118493,2,10,1,2,12,0,2,6,0,11,2,0,0,0,1
S00118494,5,5,4,5,6,5,3,3,0,2,7,1,0,0,4
S00118495,5,14,10,8,10,3,1,3,0,1,1,2,0,0,1
S00118496,10,19,7,13,7,4,12,2,0,4,1,0,0,0,1
S00118497,8,9,8,17,7,4,5,2,1,2,2,0,0,1,2
S00118498,17,33,2,9,6,2,7,3,0,5,0,2,0,0,5
S00118499,7,21,4,12,6,7,3,2,0,6,7,0,0,0,1
S00118500,13,17,5,10,8,8,2,1,1,1,2,1,0,0,3
S00118501,8,16,0,5,8,3,1,2,3,4,4,1,0,0,4
S00118502,8,13,3,9,3,9,6,2,0,2,1,1,0,3,1
S00118503,36,2,9,2,0,0,1,0,0,0,0,0,0,0,0
S00118504,4,18,0,3,1,0,7,1,0,1,0,0,0,0,0
S00118505,6,8,5,3,3,4,2,0,0,4,2,2,0,0,0
S00118506,8,9,1,11,13,6,3,1,0,3,1,1,0,0,2
S00118507,8,7,9,8,12,4,3,2,0,2,4,0,0,0,4
S00118508,0,2,0,4,4,3,0,2,0,2,1,1,0,0,1
S00118509,7,11,7,12,6,4,2,2,0,1,2,0,0,0,1
S00118510,6,4,3,6,2,1,4,6,0,1,1,0,0,0,0
S00118511,7,24,5,24,9,10,9,2,0,4,1,1,0,0,3
S00118512,3,2,3,9,7,8,0,1,1,1,3,4,0,0,2
S00118513,6,17,1,7,2,2,2,1,2,10,3,0,0,0,4
S00118514,2,10,2,7,6,1,2,9,1,16,2,2,0,0,1
S00118515,0,10,0,4,8,5,0,6,0,21,2,1,0,0,1
S00118516,1,11,1,4,12,1,6,7,1,14,3,2,0,0,2
S00118517,6,13,0,6,7,2,3,2,2,3,3,1,0,0,7
S00118518,1,23,1,1,6,0,0,2,0,8,3,1,0,0,2
S00118519,6,8,2,2,4,2,1,8,0,7,1,2,0,0,3
S00118520,5,12,1,5,0,1,2,2,0,7,0,0,0,0,1
S00118521,3,33,0,2,1,0,2,1,0,3,1,1,0,0,1
S00118522,2,16,1,2,3,0,2,0,0,6,2,0,0,0,2
S00118523,4,15,0,1,1,0,1,8,1,8,5,1,0,0,3
S00118524,1,18,2,1,1,0,0,3,0,7,0,0,0,0,0
S00118525,9,4,6,7,9,0,1,1,1,6,4,0,0,0,4
S00118526,9,7,0,1,4,1,1,2,0,6,4,1,0,0,1
S00118527,18,12,4,11,2,4,4,5,0,8,3,1,0,0,4
S00118528,4,13,2,1,5,1,3,3,2,17,2,0,0,0,3
S00118529,9,23,4,6,1,3,9,3,0,9,1,2,0,0,5
S00118530,2,14,0,5,3,1,2,6,0,10,3,5,0,0,5
S00118531,7,6,4,5,3,7,2,4,0,1,5,2,0,0,3
S00118532,4,18,4,6,5,3,6,3,0,5,3,0,0,0,5
S00118533,1,27,0,0,4,0,1,11,0,22,3,1,0,0,3
S00118534,29,9,3,2,4,0,5,3,0,4,1,1,0,0,2
S00118535,8,16,4,8,6,1,3,1,0,4,3,2,0,0,4
S00118536,4,17,2,1,3,0,7,0,0,2,1,0,0,0,0
S00118537,10,36,1,1,2,0,4,4,0,4,3,0,0,0,2
S00118538,5,20,1,1,2,0,2,2,0,2,0,0,0,0,2
S00118539,4,32,0,2,1,0,3,1,1,10,2,0,0,0,5
S00118540,9,10,2,5,1,1,4,4,0,1,2,0,0,0,2
S00118541,5,18,2,1,2,1,5,3,0,10,0,1,0,0,2
S00118542,6,23,0,1,2,2,4,1,1,5,1,0,0,0,1
S00118543,8,20,2,6,2,1,3,2,0,6,0,1,0,0,7
S00118544,3,11,2,2,3,0,5,2,0,3,0,0,0,0,1
S00118545,6,6,1,7,5,4,2,0,1,1,0,0,0,1,0
S00118546,6,18,2,10,7,10,5,0,0,3,2,0,0,0,1
S00118547,2,12,0,4,2,1,4,3,0,3,1,0,0,0,3
S00118548,8,29,1,4,6,1,5,2,0,1,0,0,0,0,0
S00118549,5,13,8,8,9,6,3,3,0,1,0,1,0,0,1
S00118550,4,28,0,0,1,0,8,0,0,0,1,0,0,0,1
S00118551,8,6,1,8,2,3,0,1,0,1,4,1,0,0,0
S00118552,5,12,5,6,4,2,2,0,0,2,1,1,0,0,0
S00118553,10,4,10,13,16,7,1,0,0,3,1,2,0,1,4
S00118554,1,14,0,5,8,4,7,6,0,6,1,1,0,0,2
S00118555,1,4,2,3,13,3,0,5,0,2,2,0,0,0,0
S00118556,5,11,4,8,11,2,1,0,0,1,4,0,0,0,2
S00118557,4,4,5,11,7,4,0,1,0,2,0,0,0,0,3
S00118558,4,17,5,6,3,1,3,2,1,2,4,1,0,0,0
S00118559,7,7,8,4,9,6,2,1,0,0,0,2,0,0,2
S00118560,5,3,4,4,8,2,4,2,0,2,3,1,0,0,2
S00118561,5,9,10,23,11,4,3,4,2,0,1,2,0,0,2
S00118562,4,5,9,10,9,4,2,1,1,2,2,0,0,0,2
S00118563,3,10,6,20,20,5,2,2,2,2,2,2,0,0,0
S00118564,8,10,5,4,6,4,3,0,0,0,1,1,0,0,0
S00118565,7,4,3,9,5,1,2,1,0,1,2,1,0,0,0
S00118566,5,4,9,6,7,3,2,1,0,0,1,0,0,0,0
S00118567,4,1,6,16,9,2,0,0,0,0,1,0,0,0,0
S00118568,4,6,3,12,7,4,1,1,0,0,1,2,0,0,1
S00118569,8,2,12,16,12,9,2,2,2,1,3,1,0,0,2
S00118570,5,6,1,2,2,1,1,1,0,3,0,1,0,0,2
S00118571,2,20,1,10,8,0,1,3,2,8,0,0,0,0,4
S00118572,12,10,2,11,6,0,2,1,0,5,3,1,0,0,2
S00118573,3,6,1,0,2,2,1,1,0,7,2,0,0,0,0
S00118574,6,4,1,5,3,2,2,0,0,1,2,0,0,0,3
S00118575,6,24,2,7,5,3,2,0,0,4,1,1,0,1,3
S00118576,19,14,3,4,8,1,3,1,0,6,3,0,0,0,3
S00118577,7,9,2,6,1,0,4,1,0,4,1,0,0,0,0
S00118578,1,9,0,7,2,2,3,1,0,1,2,0,0,0,1
S00118579,7,3,7,16,4,5,1,0,0,0,2,1,0,1,1
S00118580,3,7,1,4,7,0,1,5,0,6,2,1,0,0,1
S00118581,8,7,3,4,5,2,2,3,1,3,1,1,0,0,2
S00118582,2,5,2,9,8,3,1,0,0,3,5,0,0,0,2
S00118583,10,4,0,6,8,6,3,5,0,6,2,0,0,0,2
S00118584,10,8,3,3,6,4,1,2,1,2,2,0,0,0,4
S00118585,10,6,1,4,10,4,0,4,0,4,5,1,0,0,1
S00118586,3,4,3,7,1,1,3,2,0,2,0,0,0,0,3
S00118587,13,11,4,9,3,3,3,2,0,1,0,1,0,0,3
S00118588,18,3,3,7,3,1,3,2,0,1,2,0,0,2,1
S00118589,10,1,8,7,6,1,0,0,0,1,1,0,0,0,1
S00118590,4,18,1,2,3,0,2,2,0,3,3,0,0,0,0
S00118591,4,2,5,5,5,3,1,2,0,1,1,0,0,0,0
S00118592,7,13,0,4,0,2,7,0,0,0,1,0,0,0,1
S00118593,10,11,7,6,1,6,2,3,1,7,1,0,0,2,1
S00118594,7,15,2,4,3,3,5,5,0,1,1,0,0,0,4
S00118595,8,9,2,6,1,0,2,1,0,3,3,0,0,0,1
S00118596,12,3,13,12,9,2,1,0,0,2,2,2,0,0,1
S00118597,4,3,10,10,7,5,3,3,0,1,0,2,0,0,0
S00118598,5,3,11,15,9,6,1,1,0,2,4,0,0,0,1
S00118599,7,6,7,11,13,4,1,3,0,1,0,1,0,0,2
S00118600,7,4,6,9,7,4,3,1,0,4,1,1,0,1,0
S00118601,5,4,7,8,7,10,2,1,0,1,1,1,0,1,1
S00118602,15,9,6,13,10,1,3,5,0,1,3,1,0,1,2
S00118603,6,11,5,12,6,1,1,0,0,2,1,2,1,0,0
S00118604,5,4,2,5,8,3,2,2,0,2,0,1,0,2,0
S00118605,13,7,8,19,23,5,4,1,1,4,2,3,0,1,1
S00118606,4,14,2,3,9,0,3,1,0,2,4,0,0,0,0
S00118607,2,7,0,5,11,2,1,5,0,3,0,0,0,0,0
S00118608,2,20,0,9,3,0,0,0,0,0,0,1,0,0,1
S00118609,3,13,1,11,9,4,1,3,1,1,2,2,0,0,1
S00118610,3,6,3,4,4,2,1,2,0,0,0,1,0,0,0
S00118611,7,18,2,3,8,3,7,2,0,2,1,1,0,0,2
S00118612,7,16,3,12,14,6,1,4,1,4,2,3,0,0,2
S00118613,4,18,1,6,10,3,2,2,0,4,3,0,0,0,0
S00118614,4,12,2,5,5,6,5,2,0,0,1,2,0,0,2
S00118615,7,7,8,16,16,6,1,4,0,2,1,1,0,2,1
S00118616,8,22,2,10,2,5,3,6,1,5,5,3,0,0,2
S00118617,10,14,2,6,7,8,6,4,1,7,3,4,0,1,4
S00118618,0,14,2,5,12,1,1,8,1,3,7,1,0,0,0
S00118619,5,9,3,8,6,3,2,2,1,3,3,1,0,0,3
S00118620,3,7,4,5,11,4,2,1,0,4,2,2,0,0,3
S00118621,6,18,0,5,12,5,2,9,1,8,4,1,0,0,6
S00118622,6,16,6,10,10,6,3,3,0,2,4,3,0,0,1
S00118623,5,6,1,4,7,5,0,2,0,4,4,3,0,0,3
S00118624,5,8,1,6,9,3,3,2,1,10,4,1,0,0,3
S00118625,1,13,1,2,2,7,4,3,0,8,4,1,0,0,3
S00118626,6,12,1,7,4,3,0,6,0,16,6,3,0,0,1
S00118627,11,9,4,9,5,4,6,4,1,12,4,2,0,0,3
S00118628,6,10,8,9,6,3,6,1,0,5,3,1,0,0,0
S00118629,10,8,7,8,14,5,2,2,0,2,4,1,0,0,3
S00118630,10,0,12,17,11,2,4,1,0,2,2,2,0,0,1
S00118631,8,9,13,13,15,7,4,3,0,2,2,0,0,0,0
S00118632,9,11,2,2,3,1,2,1,0,6,4,1,0,0,0
S00118633,5,1,11,12,5,7,3,3,0,0,3,2,0,0,1
S00118634,11,15,10,12,8,8,2,0,0,0,3,0,0,0,0
S00118635,5,15,1,8,10,1,5,4,0,9,4,2,0,0,0
S00118636,5,13,5,6,8,5,1,0,0,11,1,0,0,0,1
S00118637,5,11,1,8,5,3,3,3,0,0,1,0,0,0,0
S00118638,5,1,9,6,7,2,1,0,0,0,0,3,0,0,0
S00118639,9,0,6,11,10,4,1,1,0,0,2,1,0,2,0
S00118640,16,9,4,8,6,5,2,4,0,3,4,0,0,1,1
S00118641,4,9,6,8,8,5,2,4,0,6,3,1,0,0,4
S00118642,4,4,4,4,2,5,1,3,1,2,0,1,0,0,1
S00118643,3,6,8,10,9,3,4,2,1,2,6,0,0,0,0
S00118644,10,12,4,5,2,4,1,0,1,2,1,0,0,0,1
S00118645,14,12,1,5,8,1,1,3,0,7,1,1,0,1,1
S00118646,16,11,11,6,11,7,4,1,0,6,1,1,0,1,1
S00118647,9,9,7,6,6,3,2,3,1,1,2,1,0,0,0
S00118648,4,6,5,2,4,1,3,1,0,1,0,0,0,1,0
S00118649,7,3,4,10,12,4,2,2,0,5,1,2,0,0,1
S00118650,13,5,3,12,12,1,2,6,2,13,4,1,0,0,1
S00118651,3,8,3,3,6,2,0,2,0,4,2,1,0,1,1
S00118652,9,8,5,8,5,1,3,0,0,4,0,4,0,3,3
S00118653,8,10,4,15,6,1,2,0,0,1,2,0,0,1,1
S00118654,24,4,6,3,4,0,3,1,0,1,0,1,0,1,0
S00118655,7,8,3,15,9,1,1,1,0,1,1,0,0,0,3
S00118656,14,5,11,14,12,5,2,0,0,0,2,0,0,0,1
S00118657,9,7,4,4,7,7,2,2,0,0,2,0,0,1,1
S00118658,9,4,7,8,11,5,0,2,0,5,1,0,0,0,1
S00118659,1,3,3,4,4,5,2,1,0,1,1,0,0,0,0
S00118660,2,2,4,7,15,1,0,0,0,2,0,0,0,0,1
S00118661,14,18,6,9,5,6,5,6,1,8,8,1,0,0,3
S00118662,5,5,3,12,4,2,2,5,0,2,4,4,0,0,2
S00118663,13,7,3,4,7,2,4,2,1,4,3,0,0,0,1
S00118664,5,8,9,5,9,1,2,3,1,2,4,0,0,0,1
S00118665,12,7,2,13,5,8,2,1,0,1,1,0,0,0,0
S00118666,13,10,1,7,4,1,0,1,0,4,6,0,0,0,2
S00118667,8,2,5,9,13,1,2,2,2,2,0,0,0,0,1
S00118668,9,7,10,11,22,8,8,3,1,5,1,0,0,0,1
S00118669,8,2,10,15,7,2,1,0,0,0,1,0,0,0,0
S00118670,5,3,5,2,5,5,2,6,0,7,4,3,0,0,1
S00118671,10,5,3,8,5,1,2,0,0,3,3,1,0,0,0
S00118672,11,13,2,3,3,2,2,1,1,4,3,2,0,0,1
S00118673,4,3,3,9,8,5,5,8,0,8,3,1,0,0,1
S00118674,1,1,0,1,5,0,0,4,0,12,5,1,0,0,1
S00118675,18,9,6,11,4,5,4,2,1,9,6,0,0,1,0
S00118676,14,19,3,13,8,1,3,3,1,2,5,1,0,0,3
S00118677,6,7,3,14,12,6,3,2,0,3,2,4,0,0,1
S00118678,3,10,3,1,5,0,0,1,0,1,1,1,0,0,0
S00118679,6,9,2,5,8,5,2,4,2,6,4,3,0,0,2
S00118680,1,2,0,6,3,3,0,3,1,0,2,0,0,0,0
S00118681,7,4,2,5,4,5,2,6,1,5,2,2,0,1,1
S00118682,13,12,2,5,3,2,3,1,0,2,2,1,0,0,2
S00118683,3,6,2,9,3,4,1,4,0,2,1,0,0,0,2
S00118684,12,10,8,6,5,5,1,1,0,2,3,2,0,0,0
S00118685,7,4,6,9,7,11,1,0,0,0,0,3,0,0,0
S00118686,8,10,7,6,4,5,3,2,0,0,1,0,0,0,2
S00118687,9,5,10,14,11,3,2,1,1,3,4,1,0,0,2
S00118688,5,4,12,4,7,5,3,1,0,0,1,1,0,0,3
S00118689,8,13,13,14,8,7,1,1,0,9,0,1,0,0,1
S00118690,11,10,5,10,15,5,3,1,0,3,7,2,0,0,1
S00118691,15,4,6,15,12,7,5,4,0,2,1,1,0,0,1
S00118692,7,1,7,13,8,6,1,1,1,1,1,2,0,0,0
S00118693,9,8,2,6,10,4,3,3,0,2,2,0,0,0,0
S00118694,5,4,10,8,8,3,1,1,0,4,1,0,0,2,0
S00118695,7,9,5,7,10,5,2,2,0,0,4,1,0,0,1
S00118696,13,6,13,4,2,5,2,1,0,0,3,1,0,0,0
S00118697,6,1,7,4,4,1,1,0,0,0,0,3,0,0,0
S00118698,11,2,9,8,11,6,4,4,0,4,1,0,0,0,2
S00118699,8,3,10,12,14,2,1,2,0,0,1,0,0,0,0
S00118700,7,5,8,16,12,5,0,0,0,0,1,1,0,1,0
S00118701,21,4,5,2,3,5,1,1,0,6,0,0,0,1,0
S00118702,9,3,4,11,6,1,2,3,0,0,2,1,0,0,0
S00118703,12,4,5,6,10,3,0,1,0,2,2,0,0,0,1
S00118704,18,6,14,6,7,0,1,1,0,3,1,0,0,0,0
S00118705,12,18,2,9,3,0,3,1,1,6,2,1,0,0,7
S00118706,3,16,5,6,8,0,3,1,0,4,0,1,0,0,2
S00118707,8,17,0,7,8,2,2,2,0,5,2,0,0,0,3
S00118708,3,9,1,3,4,0,3,1,0,2,0,1,0,0,2
S00118709,6,11,1,3,2,0,9,2,0,6,5,0,0,0,1
S00118710,7,16,0,6,5,2,5,2,0,3,2,1,0,0,4
S00118711,3,4,0,2,6,1,3,2,0,4,1,1,0,0,2
S00118712,8,9,3,6,1,0,8,2,0,1,1,0,0,0,2
S00118713,6,10,4,4,9,3,9,2,0,3,2,3,0,0,0
S00118714,12,11,2,3,4,2,2,2,0,3,4,2,0,0,2
S00118715,13,15,3,4,6,1,3,3,0,6,0,1,0,0,1
S00118716,17,11,4,8,2,1,5,7,0,1,1,3,0,0,1
S00118717,10,6,3,6,3,2,1,2,0,2,1,1,0,0,0
S00118718,8,11,5,10,8,1,0,0,0,3,6,0,0,0,0
S00118719,5,6,1,9,7,3,2,5,1,1,2,0,0,1,4
S00118720,11,9,9,6,7,3,0,4,1,0,6,3,0,0,1
S00118721,11,40,2,2,0,0,3,1,0,2,4,0,0,1,0
S00118722,9,14,2,9,1,1,0,2,0,6,2,0,0,0,2
S00118723,9,4,3,13,3,6,1,4,0,1,9,0,0,0,1
S00118724,4,2,5,10,7,7,0,0,0,2,0,0,0,0,0
S00118725,8,1,3,8,6,1,2,1,0,0,0,1,0,0,0
S00118726,11,5,4,4,8,1,4,2,0,1,2,1,0,0,4
S00118727,4,3,3,2,8,3,0,5,0,2,3,0,0,0,0
S00118728,11,23,8,6,4,0,5,4,0,8,1,1,0,1,5
S00118729,13,15,8,6,5,1,5,3,1,9,1,1,0,1,0
S00118730,6,3,3,7,6,1,1,4,1,9,2,2,0,0,1
S00118731,3,4,4,0,5,3,1,3,0,7,4,1,0,0,0
S00118732,13,8,12,2,5,0,2,1,1,3,3,1,0,0,2
S00118733,14,7,2,2,4,1,4,0,1,7,6,0,0,1,0
S00118734,8,4,4,3,1,1,0,3,0,2,1,0,0,0,2
S00118735,9,4,4,3,7,3,1,2,0,8,5,0,0,0,0
S00118736,4,4,0,4,5,3,0,6,0,14,6,2,0,0,0
S00118737,1,11,1,2,5,4,3,3,0,11,0,1,0,0,0
S00118738,28,4,5,2,6,3,1,5,1,4,2,0,0,0,2
S00118739,27,10,4,8,6,3,4,5,0,4,5,0,0,0,0
S00118740,7,15,1,7,7,1,1,0,0,0,0,1,0,0,1
S00118741,0,3,3,10,7,0,0,1,0,0,2,1,0,0,0
S00118742,4,1,10,7,7,2,4,2,0,0,0,2,0,0,0
S00118743,8,5,10,9,7,1,0,0,0,0,2,0,0,1,0
S00118744,9,7,12,14,10,4,2,0,0,2,0,0,0,0,3
S00118745,6,5,9,11,10,5,3,0,0,4,7,1,0,0,0
S00118746,12,5,4,9,10,1,3,7,0,6,1,0,0,0,1
S00118747,13,6,3,10,6,2,0,1,0,2,2,0,0,0,0
S00118748,7,18,5,4,15,5,5,2,0,2,2,0,0,0,6
S00118749,12,12,13,10,11,5,4,2,0,1,2,1,0,1,0
S00118750,8,6,4,14,8,3,3,4,2,3,5,0,0,1,1
S00118751,6,9,9,16,7,4,1,2,0,1,1,1,0,0,0
S00118752,12,4,9,10,5,6,1,0,0,3,0,1,0,0,2
S00118753,11,3,9,7,11,11,1,4,0,3,4,2,0,0,3
S00118754,26,7,7,5,6,3,2,0,1,2,2,0,0,1,2
S00118755,5,4,2,6,10,2,0,1,0,4,0,0,0,0,0
S00118756,17,9,8,5,6,7,1,2,0,4,3,0,0,0,2
S00118757,17,22,9,19,12,6,9,2,0,2,1,1,0,0,3
S00118758,11,10,8,7,9,4,4,2,2,6,2,2,0,0,3
S00118759,10,14,9,7,12,7,4,3,1,2,2,2,0,0,0
S00118760,4,5,5,6,8,3,1,0,1,4,1,1,0,0,1
S00118761,3,5,5,6,6,2,2,0,1,0,0,2,0,0,1
S00118762,6,9,7,10,14,2,7,4,0,1,0,1,0,0,3
S00118763,12,2,9,6,9,2,0,4,0,1,2,1,0,0,2
S00118764,4,13,2,6,7,1,1,2,0,1,1,0,0,0,0
S00118765,11,4,6,4,6,4,1,2,0,2,3,0,0,0,0
S00118766,5,8,5,8,5,4,1,1,1,0,4,0,0,0,1
S00118767,9,6,3,4,5,3,1,4,1,5,4,2,0,0,0
S00118768,10,8,4,2,0,2,1,1,0,1,3,1,0,0,0
S00118769,22,24,1,5,4,1,5,1,1,4,2,0,0,1,3
S00118770,15,18,4,5,4,3,4,3,0,1,3,0,0,0,1
S00118771,10,10,6,6,2,1,1,3,0,6,5,0,0,0,2
S00118772,3,7,4,4,4,3,1,2,0,6,4,0,0,1,3
S00118773,10,7,4,10,8,6,3,3,0,4,3,1,0,0,3
S00118774,3,6,4,7,5,1,0,1,0,1,1,0,0,0,0
S00118775,3,13,1,3,5,1,3,3,0,14,7,2,0,0,3
S00118776,10,12,9,6,6,2,3,2,2,4,1,3,0,0,1
S00118777,7,4,4,6,7,1,3,1,0,0,1,2,0,0,3
S00118778,7,11,5,7,12,4,4,7,0,9,4,2,0,1,3
S00118779,21,21,3,5,1,0,2,0,0,3,0,0,0,0,1
S00118780,8,7,7,12,9,1,2,2,1,7,3,1,0,1,1
S00118781,8,6,2,6,3,2,1,2,0,3,1,0,0,2,7
S00118782,13,5,9,7,11,5,6,2,1,2,6,1,0,0,2
S00118783,8,5,10,15,7,7,2,2,0,1,6,0,0,0,3
S00118784,1,3,3,10,22,2,4,3,0,2,1,0,0,0,2
S00118785,3,4,4,15,15,11,1,2,0,1,0,1,0,0,2
S00118786,5,9,5,7,16,5,1,6,0,3,2,0,0,0,1
S00118787,7,4,7,14,9,5,6,7,0,1,6,3,0,1,6
S00118788,18,8,4,7,6,3,0,3,0,3,5,1,0,0,1
S00118789,4,6,1,5,4,5,1,3,0,5,1,1,0,0,2
S00118790,2,6,1,4,17,5,4,4,1,10,5,0,0,0,2
S00118791,12,12,1,8,16,4,0,6,0,10,3,3,0,0,1
S00118792,11,9,5,12,7,1,1,3,0,1,0,0,0,1,2
S00118793,0,1,0,6,4,3,4,2,0,2,0,0,0,0,0
S00118794,7,7,10,10,11,1,4,3,1,3,2,0,0,0,6
S00118795,3,15,0,3,8,1,1,2,0,11,2,2,0,0,2
S00118796,10,11,2,3,10,1,5,3,0,11,4,0,0,0,2
S00118797,2,8,1,9,6,2,1,4,0,8,2,1,0,1,1
S00118798,5,21,3,4,4,3,2,4,0,9,2,2,0,0,1
S00118799,8,9,1,5,6,3,1,4,1,9,0,1,0,0,1
S00118800,7,11,1,5,3,4,1,6,0,18,3,1,0,0,3
S00118801,5,12,2,6,8,3,0,1,0,9,3,1,0,1,3
S00118802,4,5,2,3,5,2,2,4,0,6,5,1,0,0,1
S00118803,6,12,1,7,4,2,1,4,0,7,3,2,0,0,4
S00118804,1,6,2,18,5,12,0,2,3,8,4,2,0,0,1
S00118805,6,5,7,20,6,6,0,4,0,1,0,1,1,1,2
S00118806,5,16,0,4,5,1,6,4,0,6,0,0,0,0,1
S00118807,4,8,6,6,7,1,3,2,0,1,1,0,0,0,1
S00118808,4,11,2,4,4,2,0,4,1,8,6,0,0,0,3
S00118809,10,6,4,8,5,2,5,2,0,5,2,2,0,0,4
S00118810,3,10,8,15,7,1,3,4,1,2,1,0,0,0,3
S00118811,9,11,6,12,15,3,6,4,0,5,2,1,0,0,3
S00118812,4,15,4,6,7,2,5,4,0,5,2,1,0,0,6
S00118813,9,13,3,16,5,3,1,4,0,5,3,0,0,0,2
S00118814,6,6,5,7,6,8,2,4,1,5,6,1,0,0,0
S00118815,19,7,6,8,6,4,8,1,0,3,2,0,0,0,0
S00118816,13,12,7,9,9,3,3,1,0,4,4,2,0,0,2
S00118817,16,10,7,10,6,2,1,2,1,7,2,4,0,0,3
S00118818,6,8,5,10,7,6,2,3,0,4,8,2,0,0,0
S00118819,8,2,8,9,6,6,0,3,1,2,4,0,0,1,3
S00118820,14,8,6,11,12,4,0,0,1,6,1,0,0,0,1
S00118821,7,6,14,16,8,7,4,0,0,1,0,0,0,0,3
S00118822,1,5,4,6,17,1,6,5,0,1,1,1,0,0,1
S00118823,7,7,3,10,12,2,4,3,0,1,4,0,0,0,0
S00118824,8,6,3,15,10,5,7,4,0,6,2,1,0,1,1
S00118825,7,1,6,3,2,4,0,0,0,2,3,0,0,0,1
S00118826,0,6,1,4,8,3,2,6,0,8,4,1,0,0,0
S00118827,1,9,0,3,6,1,1,6,1,10,0,1,0,0,3
S00118828,6,12,1,7,16,3,2,6,1,7,5,3,0,0,1
S00118829,1,11,3,3,3,2,4,1,0,2,1,1,0,0,1
S00118830,14,9,2,4,6,9,1,3,1,12,3,2,0,0,0
S00118831,3,6,3,4,10,1,3,1,0,6,1,0,0,1,1
S00118832,17,18,3,9,10,2,4,4,0,4,0,1,0,0,3
S00118833,5,4,7,4,8,5,2,1,0,1,1,0,0,0,1
S00118834,9,7,1,10,8,3,3,1,0,1,0,0,0,0,4
S00118835,9,4,13,14,6,4,2,0,1,2,3,1,0,1,0
S00118836,10,1,4,6,9,1,1,5,2,3,2,3,0,0,0
S00118837,6,12,1,3,5,1,4,7,0,6,3,0,0,0,0
S00118838,9,2,8,7,2,4,1,5,1,3,3,0,0,0,1
S00118839,14,11,2,12,2,3,0,2,0,2,0,0,0,1,0
S00118840,1,2,1,1,2,2,1,5,0,9,4,2,0,0,0
S00118841,9,10,0,2,10,3,2,3,0,8,2,3,0,0,1
S00118842,7,5,4,9,11,4,1,8,1,7,1,2,0,1,0
S00118843,9,21,2,3,6,3,1,2,0,7,2,0,0,1,3
S00118844,6,6,4,7,13,4,2,9,0,12,6,4,0,0,5
S00118845,14,10,0,6,4,2,1,5,1,8,2,0,0,0,0
S00118846,8,1,12,15,16,5,3,3,0,2,1,1,0,0,2
S00118847,10,19,3,6,8,3,5,4,0,7,4,0,0,1,0
