oa_code,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,other_religion,no_religion,religion_not_stated
S00089109,10,19,1,0,0,0,1,0,0,28,1
S00089110,26,13,0,0,0,0,1,0,0,65,4
S00089111,28,19,1,0,0,0,0,0,3,78,18
S00089112,13,41,6,0,0,0,0,0,0,76,15
S00089113,22,2,4,0,0,0,0,0,0,30,6
S00089114,17,6,1,0,0,1,0,0,0,78,14
S00089115,27,18,15,0,0,0,0,0,2,85,7
S00089116,12,30,10,1,0,0,0,0,0,143,10
S00089117,11,16,4,0,0,0,0,0,0,77,17
S00089118,42,14,0,0,0,0,0,0,0,80,9
S00089119,26,3,5,0,0,0,0,0,1,45,7
S00089120,28,3,7,0,0,0,0,0,0,28,11
S00089121,45,16,13,1,2,0,0,0,1,58,37
S00089122,10,4,1,0,0,0,0,0,0,45,5
S00089123,27,1,6,0,0,0,0,0,1,109,7
S00089124,19,1,10,0,0,0,0,0,0,70,5
S00089125,34,2,2,0,3,0,4,0,0,106,13
S00089126,15,14,3,0,0,0,0,0,0,80,4
S00089127,20,15,5,0,0,0,0,0,0,48,5
S00089128,5,3,1,0,0,0,0,0,2,80,6
S00089129,50,15,14,0,0,0,1,0,0,110,7
S00089130,31,2,7,0,2,0,0,0,3,41,7
S00089131,25,0,1,1,0,0,1,0,3,66,5
S00089132,32,1,6,0,3,0,1,0,0,38,6
S00089133,39,4,1,0,3,0,0,0,0,36,4
S00089134,45,7,6,0,0,0,0,0,0,68,3
S00089135,73,4,12,0,0,0,0,0,0,43,12
S00089136,41,5,4,4,0,0,1,0,0,49,8
S00089137,37,3,19,0,3,0,0,0,0,37,10
S00089138,26,2,4,0,0,0,0,0,0,18,5
S00089139,26,2,3,0,0,0,10,0,1,40,4
S00089140,22,10,9,0,0,0,0,0,0,55,4
S00089141,39,1,6,1,0,0,8,0,2,59,4
S00089142,33,13,1,0,0,0,0,1,1,86,2
S00089143,25,19,6,0,0,0,1,0,2,51,1
S00089144,25,3,1,0,3,0,0,0,0,52,7
S00089145,41,6,5,0,0,0,4,0,0,52,19
S00089146,32,8,1,0,0,0,6,0,0,66,4
S00089147,24,8,4,0,0,0,2,0,0,53,5
S00089148,21,4,3,1,0,0,0,0,0,85,9
S00089149,10,10,17,0,0,0,0,0,1,81,5
