oa_code	african_carribbean_black	asian	mixed	other	white
S00089332	0	0	0	0	344
S00089333	0	0	0	0	352
S00089334	0	14	0	2	284
S00089335	0	4	3	0	278
S00089336	0	14	0	0	172
S00089337	2	4	0	0	108
S00089338	0	8	1	0	302
S00089339	0	2	0	0	298
S00089340	2	0	1	0	246
S00089341	0	4	0	0	150
S00089342	0	0	0	0	150
S00089343	8	18	0	4	112
S00089344	0	0	0	0	140
S00089345	4	6	4	0	178
S00089346	4	0	2	0	282
S00089347	0	0	0	0	216
S00089348	0	0	0	0	184
S00089349	0	0	0	0	194
S00089350	6	4	0	0	236
S00089351	4	26	6	0	308
S00089352	0	0	0	0	316
S00089353	2	2	0	0	218
S00089354	6	0	0	0	172
S00089355	0	8	2	0	318
S00089356	0	12	1	0	108
S00089357	0	8	0	0	228
S00089358	2	2	0	0	166
S00089359	0	22	0	12	224
S00089360	8	16	4	0	194
S00089361	0	10	0	0	292
S00089362	0	20	0	0	248
S00089363	6	4	1	0	108
S00089364	2	24	0	2	164
S00089365	64	8	0	8	184
S00089366	12	16	1	4	176
S00089367	16	2	0	0	186
S00089368	14	0	0	4	98
S00089369	42	38	0	0	160
S00089370	0	2	0	0	212
S00089371	6	10	3	0	224
S00089372	4	4	1	0	116
S00089373	0	6	4	8	172
S00089374	2	4	1	0	186
S00089375	0	4	0	0	270
S00089376	12	2	1	0	254
S00089377	8	0	0	0	156
S00089378	0	6	2	2	194
S00089379	2	2	0	0	334
S00089380	0	6	0	0	306
S00089381	10	4	0	0	202
S00089382	6	4	0	0	242
S00089383	0	6	1	2	206
S00089384	0	4	0	0	208
S00089385	2	24	0	0	352
S00089386	0	12	0	0	404
S00089387	0	4	0	0	312
S00089388	0	30	4	0	280
S00089389	0	0	0	0	196
S00089390	2	8	0	0	176
S00089391	0	6	0	0	196
S00089392	0	0	0	0	170
S00089393	8	0	1	0	162
S00089394	0	0	0	0	136
S00089395	8	0	0	0	214
S00089396	0	0	0	0	144
S00089397	10	18	0	0	174
S00089398	0	2	3	0	184
S00089399	0	0	0	0	102
S00089400	12	6	3	2	170
S00089401	0	0	0	0	146
S00089402	0	8	0	0	160
S00089403	0	2	1	2	190
S00089404	0	4	0	0	186
S00089405	2	0	1	2	218
S00089406	0	0	0	2	288
S00089407	2	20	3	4	224
S00089408	0	38	0	0	170
S00089409	0	18	0	2	214
S00089410	12	20	4	8	194
S00089411	12	0	2	2	178
S00089412	6	16	0	4	354
S00089413	14	20	3	0	336
S00089414	0	0	3	0	120
S00089415	0	8	0	0	186
S00089416	8	12	3	0	276
S00089417	0	4	3	0	256
S00089418	12	14	3	4	262
S00089419	0	40	3	0	190
S00089420	0	8	3	4	266
S00089421	6	0	1	6	328
S00089422	4	0	1	0	170
S00089423	2	10	0	0	314
S00089424	0	18	5	2	258
S00089425	0	48	3	0	312
S00089426	2	10	0	0	366
S00089427	0	2	0	0	156
S00089428	0	8	2	0	154
S00089429	0	2	6	0	256
S00089430	0	0	0	0	252
S00089431	0	16	0	0	260
S00089432	0	0	4	0	114
S00089433	2	6	0	2	138
S00089434	0	2	1	0	156
S00089435	8	2	2	0	226
S00089436	4	18	2	0	208
S00089437	0	8	1	2	272
S00089438	0	0	1	4	302
S00089439	0	2	0	0	222
S00089440	0	4	3	0	108
S00089441	0	4	0	0	162
S00089442	0	0	2	2	206
S00089443	2	0	1	0	122
S00089444	22	34	1	14	192
S00089445	28	26	0	0	236
S00089446	16	10	2	0	188
S00089447	0	22	1	8	152
S00089448	4	28	2	2	170
S00089449	6	40	0	6	230
S00089450	4	10	1	0	172
S00089451	6	0	1	0	174
S00089452	4	14	0	2	178
S00089453	6	18	1	0	194
S00089454	2	0	0	0	150
S00089455	4	26	0	0	156
S00089456	2	52	0	0	202
S00089457	12	2	0	6	150
S00089458	4	22	1	0	130
S00089459	10	18	0	0	94
S00089460	0	4	0	2	162
S00089461	8	10	0	0	190
S00089462	6	16	0	0	152
S00089463	8	10	1	6	238
S00089464	12	14	0	0	240
S00089465	14	2	0	0	152
S00089466	20	12	1	0	162
S00089467	12	4	2	2	142
S00089468	44	2	3	6	78
S00089469	14	10	2	14	186
S00089470	12	10	0	4	118
S00089471	8	6	0	0	132
S00089472	0	8	1	2	154
S00089473	0	8	0	2	178
S00089474	16	26	1	16	198
S00089475	0	12	1	0	126
S00089476	0	10	2	0	104
S00089477	14	18	0	2	174
S00089478	2	28	0	0	170
S00089479	8	20	0	0	114
S00089480	6	10	0	6	114
S00089481	14	2	2	8	218
S00089482	0	8	1	0	134
S00089483	10	12	0	2	150
S00089484	12	6	1	4	194
S00089485	20	14	1	2	98
S00089486	0	8	0	6	188
S00089487	2	10	1	0	146
S00089488	2	14	3	2	220
S00089489	22	26	1	8	204
S00089490	10	32	2	4	450
S00089491	6	10	0	2	200
S00089492	4	4	0	0	134
S00089493	4	0	0	2	142
